date,PX_LAST,PX_MID,PX_BID,PX_ASK,PX_DIRTY_MID,INT_ACC,YLD_YTM_MID,YLD_YTM_BID,YLD_YTM_ASK,DUR_ADJ_MID,DUR_ADJ_OAS_MID,CONVEXITY,OAS_SPREAD_MID,Z_SPRD_MID,country,isin,security_des,MOD_DUR_CALC,CONVEXITY_CALC,MAC_DUR_CALC,PV_DIRTY_CALC
2019-09-02,38.263,38.263,37.692,38.834,39.33,,23.48,23.795,23.172,,,,,2210.595,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.663735221906577,32.57799097087912,5.211257736958409,39.28724451224649
2019-09-03,37.204,37.204,36.499,37.908,38.29,,24.074,24.48,23.679,,,,,2275.802,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.597167948240912,31.89507983715284,5.150529054170671,38.24490365839016
2019-09-04,39.25,39.25,38.729,39.77,40.354,,22.958,23.235,22.687,,,,,2162.792,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.715486020267299,33.115365942050666,5.256776660533783,40.309307963072094
2019-09-05,41.195,41.195,40.683,41.707,42.354,,21.979,22.232,21.73,,,,,2057.095,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.81999573703217,34.20409616920095,5.34968916855332,42.25999307317207
2019-09-06,44.012,44.012,43.358,44.665,45.19,,20.663,20.958,20.374,,,,,1924.366,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.9626342673132,35.70619473079301,5.475348826640663,45.09465352452339
2019-09-09,43.585,43.585,42.916,44.255,44.781,,20.858,21.164,20.558,,,,,1934.986,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.933607668255831,35.400884144735336,5.448133611978231,44.73415127855467
2019-09-10,42.605,42.605,41.973,43.236,43.82,,21.312,21.611,21.02,,,,,1972.43,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.880999892353083,34.84751226476391,5.401119240882228,43.772552029124654
2019-09-11,43.019,43.019,42.444,43.593,44.252,,21.122,21.391,20.86,,,,,1953.116,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.899482567413523,35.042492674893,5.416916921358065,44.205557054120256
2019-09-12,42.578,42.578,42.121,43.034,43.866,,21.336,21.552,21.124,,,,,1971.28,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.873406660178213,34.769242563701674,5.393301682686023,43.76988029747567
2019-09-13,40.76,40.76,40.555,40.964,42.067,,22.219,22.321,22.117,,,,,2046.645,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.77397684269708,33.731871414289245,5.304341800036513,41.96849354312812
2019-09-16,40.055,40.055,39.671,40.439,41.38,,22.578,22.776,22.383,,,,,2088.98,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.727378608555721,33.251915687331795,5.261052379675577,41.33080416935525
2019-09-17,41.189,41.189,41.06,41.318,42.532,,22.012,22.076,21.949,,,,,2033.22,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.786778765522995,33.86869221976952,5.313611636456456,42.48332858374182
